delta_ratio,theta_ratio,alpha_ratio,beta_ratio,gamma_ratio,mean,variance
0.07674285453576159,0.08025290880350232,0.08031048137837513,0.36128747422524116,0.40140628105711973,4321.917777036048,6210009.140723552
0.30376743423716923,0.07036792384892007,0.06383160853043679,0.27017701911005676,0.291856014273417,4009.767693591455,2110.4963736858203
0.14470154171739083,0.08326441600703796,0.07834136361366509,0.33292531870765596,0.3607673599542501,4264.0224325767695,1973.7200171533311
0.0770992293650626,0.0802388939133363,0.08025463154214649,0.3611423050077533,0.4012649401717014,4164.946326435247,27209060.807420086
0.11542658764761644,0.07731431579522925,0.08032839353934279,0.3468777955226458,0.3800529074951658,4341.741075433912,1206.705112067741
0.07655637887623486,0.08030053600344648,0.0802988197762078,0.3613542269440964,0.40149003840001435,4644.02237917223,8553822.783318227
0.0771263604382812,0.08023251186149105,0.08024722006327033,0.36113337968882037,0.401260527948137,4110.400159546061,21167111.930629715
0.15765459304168988,0.08215590812686341,0.08610439714879284,0.33320390457977533,0.34088119710287856,4616.0569038718295,857.9993221896916
0.07683615367305557,0.0802777763879825,0.08028010528506807,0.36126400355864374,0.40134196109525005,4218.826610146863,4563936.687655411
0.14034065165886417,0.08363605791522641,0.083628379844714,0.3355477941857229,0.35684711639547245,4231.316199599466,1447.7745366717754
0.23364539406207843,0.07170138038265282,0.07490904225521777,0.3004794513856819,0.3192647319143692,4202.456899866489,1427.6850759565957
0.14045173021374732,0.07991013826921088,0.0775467662847232,0.3381192508629827,0.3639721143693358,4279.232774365822,1725.8146037848703
0.0770964757313478,0.0802222798603377,0.08028439924790372,0.36117956888851005,0.4012172762719008,4615.205335560748,1460060.4821868718
0.0765417802795957,0.08029453656779449,0.08029689581677034,0.3613654410824626,0.40150134625337686,4416.435832443258,34704922.54709101
